model,mae,r2,mae_ci_lower,mae_ci_upper,r2_ci_lower,r2_ci_upper
multitask,10.3595,-0.1164,7.5974,13.4681,-0.5579,0.1895
single_task,10.885,-0.1733,8.2216,13.857,-0.5931,0.1156
