covariate,mean_countermeasure,mean_control,n_countermeasure,n_control,smd,imbalanced
Isovolumic Contraction Time,59.348846153846154,46.32090909090909,26,11,0.7213431924952481,True
TDI Left Heart Rate,57.45346153846154,60.69363636363635,26,11,-0.3998933451918354,True
LVOT Velocity Time Integral,22.06153846153846,23.33636363636364,26,11,-0.37354179628866147,True
body_weight_kg,76.2527363797809,79.73998397435898,16,4,-0.2883772874040264,True
Mitral Deceleration Time,196.8526923076923,207.27272727272722,26,11,-0.2207796816610654,True
Ejection Time,306.93461538461537,305.3290909090909,26,11,0.10301799211256893,True
Left Ventricular Diameter Systole,3.231538461538462,3.1936363636363634,26,11,0.09119160383607146,False
Left Ventricular Diameter Diastole,5.139615384615384,5.1054545454545455,26,11,0.07410150585338049,False
